,Podcast,Gross revenue per episode in U.S. dollars
0,This Week in Tech (TWIT),50000
1,Shane and Friends,15250
2,WTF with Marc Maron,14640
3,The Adam Carolla Show,14500
4,ESPN: The B.S. Report with Bill Simons,14000
5,StarTalk Radio,13725
6,The Joe Rogan Experience,11000
7,Comedy Bang Bang,10675
8,Hollywood Bubble-On,9150
9,How Did This Get Made,7300
10,Doug Loves Movies,7000
11,Bill Burr's Monday Morning Pdcast,6500
12,Savage Lovecast,6100
13,Smodcast,6100
14,The Cracked Podcast,5700
15,"Boars, Gore and Swords",5375
16,Futility Closet,5150
17,Gweek,5100
18,We're Alive,3750
19,Relevant Podcast,3600
