,cancer type,Number of cancer deaths
0,Lung,1761007
1,Colorectum,880792
2,Stomach,782685
3,Liver,781631
4,Breast,626679
5,Oesophagus,508585
6,Pancreas,432242
7,Prostate,358989
8,Cervixuteri,311365
9,Leukaemia,309006
10,Non-Hodgkinlymphoma,248724
11,"Brain,centralnervoussystem",241037
12,Bladder,199922
13,Ovary,184799
14,"Lip,oralcavity",177384
15,Kidney,175098
16,Gallbladder,165087
17,Multiplemyeloma,106105
18,Larynx,94771
19,Corpusuteri,89929
20,Nasopharynx,72987
21,Melanomaofskin,60712
22,Oropharynx,51005
23,Thyroid,41071
24,Hypopharynx,34984
25,Hodgkinlymphoma,26167
26,Mesothelioma,25576
27,Salivaryglands,22176
28,Kaposisarcoma,19902
29,Vulva,15222
30,Penis,15138
31,Testis,9507
32,Vagina,8062
