,Player,Market value in million euros
0,Kylian Mbappé,120.0
1,Antoine Griezmann,100.0
2,Paul Pogba,90.0
3,Ousmane Dembélé,80.0
4,Raphaël Varane,70.0
5,Thomas Lemar,65.0
6,Samuel Umtiti,60.0
7,Nabil Fekir,60.0
8,N'Golo Kanté,60.0
9,Florian Thauvin,50.0
10,Benjamin Mendy,40.0
11,Corentin Tolisso,40.0
12,Lucas Hernández,35.0
13,Blaise Matuidi,30.0
14,Steven Nzonzi,30.0
15,Presnel Kimpembe,30.0
16,Benjamin Pavard,30.0
17,Hugo Lloris,25.0
18,Djibril Sidibé,23.0
19,Olivier Giroud,18.0
20,Alphonse Areola,15.0
21,Adil Rami,7.0
22,Steve Mandanda,2.5
