,Month,Payroll in thousand U.S. dollars
0,Zlatan Ibrahimovic,7200.0
1,Jonathan dos Santos,2000.0
2,Romain Alessandrini,1940.0
3,Jorgen Skjelvik,1066.67
4,Diego Polenta,777.28
5,Giancarlo Gonzalez Castro,719.58
6,Favio Alvarez,586.25
7,Joe Corona,550.0
8,Perry Kitchen,474.17
9,Uriel Antuna,420.0
10,David Bingham,375.0
11,Sebastian Lletget,312.67
12,Joao Pedro,261.0
13,Rolf Feltscher,242.65
14,Chris Pontius,190.0
15,Emmanuel Boateng,185.0
16,Juninho,163.13
17,Daniel Steres,155.5
18,Tomas Hilliard-Arce,123.13
19,Dave Romney,118.95
20,Hugo Arellano,90.07
21,Julian Araujo,86.25
22,Ethan Zubak,78.13
23,Bradford Jamieson,76.4
24,Efrain Alvarez,75.61
25,Emil Cuello,70.25
26,Matt Lampson,70.25
27,Servando Carrasco,70.25
28,Justin Vom Steeg,57.23
29,Diedie Traore,56.25
