,Month,Total employee jobs**,Male employee jobs**,Female employee jobs**,Total self-employed jobs,Male self-employed jobs,Female self-employed jobs
0,Jun 19 (p),175,89,86,40,21,19
1,Mar 19 (r),171,87,85,42,19,23
2,Dec 18,182,94,88,33,16,17
3,Sep 18,173,86,87,29,12,18
4,Jun 18,169,85,84,31,16,15
5,Mar 18,171,87,84,38,21,17
6,Dec 17,170,87,83,44,21,24
7,Sep 17,169,86,83,45,19,26
8,Jun 17,166,86,80,41,18,23
9,Mar 17,168,90,78,36,18,18
10,Dec 16,173,91,82,38,19,19
11,Sep 16,171,91,80,40,19,21
12,Jun 16,176,93,83,40,26,14
13,Mar 16,179,96,83,49,28,21
14,Dec 15,179,95,85,48,29,19
15,Sep 15,180,95,85,47,29,18
16,Jun 15,168,87,81,40,21,19
17,Mar 15,169,89,80,40,26,14
18,Dec 14,157,81,75,37,22,15
19,Sep 14,158,82,76,30,18,12
20,Jun 14,162,84,78,35,18,17
21,Mar 14,162,84,79,33,16,16
22,Dec 13,171,82,89,32,19,13
23,Sep 13,175,83,92,34,18,16
24,Jun 13,161,77,85,29,18,11
25,Mar 13,160,81,80,26,16,11
26,Dec 12,162,89,73,32,19,13
27,Sep 12,163,86,77,32,20,12
28,Jun 12,166,84,82,36,23,13
29,Mar 12,165,83,82,32,16,15
30,Dec 11,145,70,75,24,14,9
31,Sep 11,147,72,76,34,19,14
32,Jun 11,153,74,79,35,15,20
33,Mar 11,156,77,79,27,12,15
34,Dec 10,150,73,77,32,19,13
35,Sep 10,150,74,76,30,19,12
36,Jun 10,143,70,73,28,19,9
37,Mar 10,145,76,69,28,17,11
38,Dec 09,148,76,72,31,16,14
39,Sep 09,144,73,71,25,13,12
40,Jun 09,144,71,72,20,10,10
41,Mar 09,146,72,74,21,10,11
