,Year,Gross domestic product in billion international dollars
0,2020*,74.63
1,2019*,84.29
2,2018,88.62
3,2017,88.21
4,2016,85.85
5,2015,83.69
6,2014,82.65
7,2013,79.2
8,2012,74.98
9,2011,71.74
10,2010,69.67
11,2009,63.78
12,2008,57.42
13,2007,51.64
14,2006,46.01
15,2005,43.98
16,2004,41.51
17,2003,37.6
18,2002,36.3
19,2001,34.56
20,2000,32.55
21,1999,31.49
22,1998,31.29
23,1997,29.78
24,1996,26.57
25,1995,25.08
26,1994,23.06
27,1993,20.9
28,1992,19.08
29,1991,17.86
30,1990,12.5
31,1989,13.92
32,1988,23.16
33,1987,31.17
34,1986,26.06
35,1985,27.4
36,1984,21.37
