,Month,Price in GBP per kilogram
0,Nov '19,1.42
1,Oct '19,1.33
2,Sep '19,1.36
3,Aug '19,1.22
4,Jul '19,1.21
5,Jun '19,1.3
6,May '19,1.55
7,Mar '19,0.56
8,Feb '19,0.72
9,Jan '19,0.82
10,Dec '18,0.94
11,Nov '18,1.06
12,Oct '18,1.23
13,Sep '18,1.11
14,Aug '18,1.12
15,Jul '18,1.03
16,Jun '18,1.53
17,May '18,2.0
18,Apr '18,0.6
19,Mar '18,0.72
20,Feb '18,0.74
21,Jan '18,0.8
22,Dec '17,0.79
23,Nov '17,0.82
24,Oct '17,0.94
25,Sep '17,1.05
26,Aug '17,1.0
27,Jul '17,0.85
28,Jun '17,1.17
29,May '17,1.32
30,Apr '17,0.92
31,Mar '17,0.97
32,Feb '17,0.98
33,Jan '17,0.97
34,Dec '16,1.02
35,Nov '16,0.94
36,Oct '16,0.91
37,Sep '16,0.9
38,Aug '16,0.92
39,Jul '16,0.89
40,Jun '16,0.95
41,May '16,1.16
42,Apr '16,1.06
43,Mar '16,0.77
44,Feb '16,0.97
45,Jan '16,0.93
46,Dec '15,0.93
47,Nov '15,0.86
48,Oct '15,0.9
49,Sep '15,1.0
50,Aug '15,1.0
51,Jul '15,0.98
52,Jun '15,0.77
53,May '15,0.72
54,Apr '15,1.02
55,Mar '15,0.78
56,Feb '15,0.52
57,Jan '15,0.92
