,State,Total number of mass shootings
0,California,20
1,Florida,12
2,Texas,11
3,Washington,7
4,Colorado,6
5,Pennsylvania,5
6,Wisconsin,5
7,New York,4
8,Ohio,4
9,Illinois,4
10,Connecticut,3
11,Maryland,3
12,Tennessee,2
13,Michigan,2
14,Virginia,2
15,Nevada,2
16,Oregon,2
17,Kentucky,2
18,South Carolina,2
19,Georgia,2
20,North Carolina,2
21,Minnesota,2
22,Kansas,1
23,Lousiana,1
24,Utah,1
25,Massachusetts,1
26,Hawaii,1
27,D.C.,1
28,Arkansas,1
29,Arizona,1
30,Mississippi,1
31,Iowa,1
32,Missouri,1
33,Nebraska,1
34,Oklahoma,1
35,New Jersey,1
