,Amusement Parks,Attendance change
0,"Chimelong Paradise, China",11.9%
1,"Chimelong Ocean Kingdom, China",10.6%
2,"Disney's Animal Kingdom, USA",10%
3,"Tokyo Disney Sea, Japan",8.5%
4,"Hong Kong Disneyland, Hong Kong S.A.R.",8.1%
5,"Tokyo Disneyland, Japan",7.9%
6,"Shanghai Disneyland, China",7.3%
7,"Universal Studios Orlando, USA",5%
8,"Disney's Hollywood Studios, USA",5%
9,"Tivoli Gardens, Denmark",4.5%
10,"De Efteling, the Netherlands",4.2%
11,"Disney's California Adventure, USA",3%
12,"Islands of Adventure, USA",2.5%
13,"Magic Kingdom (Walt Disney World), USA",2%
14,"Disneyland Anaheim, USA",2%
15,"Epcot (Walt Disney World), USA",2%
16,"Disneyland Park, France",1.9%
17,"Walt Disney Studios, France",1.9%
18,"Universal Studios Hollywood, USA",1%
19,"Europa Park, Germany",0.4%
20,"Ocean Park, Hong Kong S.A.R.",0%
21,"Nagashima Spa Land, Japan",-0.2%
22,"Universal Studios, Japan",-4.3%
23,"Everland, South Korea",-7.3%
24,"Lotte World, South Korea",-11.2%
