,sector,Average annual salary in yuan
0,"Information transmission, computer services and software",161352
1,"Scientific research, technical service and geologic prospecting",133459
2,Financial intermediation,131405
3,"Health, social security and social welfare",108903
4,"Production and distribution of electricity, gas and water",107733
5,"Culture, sports and entertainment",107708
6,Education,97681
7,"Traffic, transport, storage and post",97050
8,Public management and social organization,94369
9,Mining,91068
10,Average,90501
11,Wholesale and retail trades,89047
12,Leasing and business services,88190
13,Real estate,80157
14,Manufacturing,78147
15,Construction,65580
16,"Management of water conservancy, environment",61158
17,Services to households and other services,60232
18,Hotels and catering services,50346
19,"Agriculture, forestry, animal husbandry and fishery",39340
