,Country,Exports in thousand euros
0,United States,71000
1,Netherlands,28000
2,United Kingdom,27000
3,Norway,27000
4,China,17000
5,Canada,14000
6,Sweden,13000
7,Japan,11000
8,Switzerland,9000
9,Finland,9000
10,Poland,9000
11,France,7000
12,Belgium/Luxembourg,7000
13,Austria,6000
14,Denmark,5000
15,Latvia,4000
16,Czech Republic,4000
17,Hong Kong,4000
18,Israel,4000
19,Estonia,3000
20,Lithuania,3000
21,Taiwan,2000
22,Ukraine,2000
23,Ireland,2000
24,Australia,2000
25,South Korea,2000
26,Mexico,1000
27,Spain,1000
28,Russia,1000
29,Italy,1000
