,Quarter,Total payment volume in billion U.S. dollars
0,Q3 2020,246.69
1,Q2 2020,221.73
2,Q1 2020,190.57
3,Q4 2019,199.4
4,Q3 2019,178.67
5,Q2 2019,172.36
6,Q1 2019,161.49
7,Q4 2018,163.65
8,Q3 2018,143.0
9,Q2 2018,139.4
10,Q1 2018,132.36
11,Q4 2017,132.52
12,Q3 2017,115.22
13,Q2 2017,107.8
14,Q1 2017,100.64
15,Q4 2016,99.35
16,Q3 2016,87.4
17,Q2 2016,86.21
18,Q1 2016,81.06
19,Q4 2015,81.52
20,Q3 2015,69.74
21,Q2 2015,67.48
22,Q1 2015,63.02
23,Q4 2014,66.04
24,Q3 2014,58.18
25,Q2 2014,56.74
26,Q1 2014,53.68
