,Football player,Market (transfer) value in million euros
0,Jadon Sancho (Borussia Dortmund),117.0
1,Serge Gnabry (FC Bayern München),90.0
2,Joshua Kimmich (FC Bayern München),85.0
3,Alphonso Davies (FC Bayern München),80.0
4,Erling Haaland (Borussia Dortmund),80.0
5,Leroy Sané (FC Bayern München),70.0
6,David Alaba (FC Bayern München),65.0
7,Dayot Upamecano (RB Leipzig),60.0
8,Leon Goretzka (FC Bayern München),60.0
9,Robert Lewandowski (FC Bayern München),60.0
10,Niklas Süle (FC Bayern München),48.0
11,Benjamin Pavard (FC Bayern München),45.0
12,Lucas Hernández (FC Bayern München),45.0
13,Ibrahima Konaté  (RB Leizpig),40.5
14,Julian Brandt (Bayer 04 Leverkusen),40.0
15,Kingsley Coman (FC Bayern München),40.0
16,Denis Zakaria (Borussia Mönchengladbach),40.0
17,Lukas Klostermann (RB Leizpig),38.0
18,Marcel Sabitzer (RB Leizpig),35.0
19,Raphaël Guerreiro (Borussia Dortmund),35.0
20,Thomas Müller (FC Bayern München),35.0
21,Christopher Nkunku (RB Leizpig),33.0
22,Matthias Ginter (Borussia Mönchengladbach),32.0
23,Filip Kostic (Eintracht Frankfurt),32.0
24,Marcus Thuram (Borussia Mönchengladbach),32.0
