,Country,Final consumption expenditure in million euros
0,United Kingdom,65415.8
1,Germany,62791.0
2,Italy,52401.6
3,France,35736.0
4,Spain,24131.0
5,Netherlands,14605.0
6,Poland,11445.3
7,Austria,9039.6
8,Belgium,8999.9
9,Sweden,6994.9
10,Portugal,6352.3
11,Denmark,4543.6
12,Finland,4153.0
13,Romania,3998.1
14,Greece*,3356.4
15,Czechia,2651.3
16,Hungary,1759.3
17,Slovakia,1424.4
18,Lithuania,1268.3
19,Slovenia,1060.2
20,Serbia,910.3
21,Bulgaria,873.0
22,Luxembourg,839.5
23,Latvia,657.4
24,Estonia,642.0
25,Cyprus,580.2
26,Iceland,303.0
27,Malta,220.9
