,Year,Import volume in billion U.S. dollars
0,2019,358.13
1,2018,346.1
2,2017,312.81
3,2016,293.5
4,2015,296.43
5,2014,295.73
6,2013,280.56
7,2012,277.59
8,2011,262.87
9,2010,229.99
10,2009,176.65
11,2008,215.94
12,2007,210.71
13,2006,198.25
14,2005,170.11
15,2004,155.9
16,2003,138.06
17,2002,134.62
18,2001,131.34
19,2000,135.93
20,1999,109.72
21,1998,94.63
22,1997,85.94
23,1996,74.3
24,1995,62.1
25,1994,49.49
26,1993,39.92
27,1992,35.21
28,1991,31.13
29,1990,30.16
30,1989,27.16
31,1988,23.26
32,1987,20.27
33,1986,17.3
34,1985,19.13
