,fiscal quarter,Revenue in billion U.S. dollars
0,2Q '20,4.28
1,1Q '20,4.5
2,4Q '19,3.83
3,3Q '19,4.42
4,2Q '19,5.07
5,1Q '19,4.54
6,4Q '18,3.59
7,3Q '18,4.03
8,2Q '18,4.36
9,1Q '18,4.09
10,4Q '17,3.48
11,3Q '17,3.97
12,2Q '17,4.18
13,1Q '17,3.74
14,4Q '16,3.37
15,3Q '16,3.55
16,2Q '16,3.91
17,1Q '16,3.51
18,4Q '15,3.18
19,3Q '15,3.45
20,2Q '15,3.72
21,1Q '15,3.37
22,4Q '14,3.41
23,3Q '14,3.58
24,2Q '14,4.38
25,1Q '14,3.71
26,4Q '13,2.56
27,3Q '13,2.67
28,2Q '13,2.87
29,1Q '13,2.53
30,4Q '12,2.65
31,3Q '12,2.58
32,2Q '12,2.59
33,1Q '12,2.28
34,4Q '11,2.68
35,3Q '11,2.43
36,2Q '11,2.52
37,1Q '11,2.35
