,Quarter,HFCE in million Australian dollars
0,Q4 2019,277811
1,Q3 2019,275794
2,Q2 2019,274060
3,Q1 2019,271580
4,Q4 2018,269454
5,Q3 2018,267426
6,Q2 2018,265282
7,Q1 2018,262553
8,Q4 2017,259789
9,Q3 2017,256034
10,Q2 2017,253693
11,Q1 2017,250899
12,Q4 2016,248944
13,Q3 2016,246618
14,Q2 2016,244617
15,Q1 2016,242896
16,Q4 2015,240918
17,Q3 2015,238818
18,Q2 2015,235763
19,Q1 2015,233168
20,Q4 2014,231129
21,Q3 2014,229114
22,Q2 2014,227152
23,Q1 2014,225241
24,Q4 2013,222622
25,Q3 2013,219963
26,Q2 2013,216030
27,Q1 2013,214513
28,Q4 2012,212219
29,Q3 2012,210876
30,Q2 2012,208561
31,Q1 2012,205786
