,Country,Number of employees
0,Germany,119535
1,France,98528
2,Italy,66500
3,United Kingdom,62500
4,Switzerland,46800
5,Spain,42653
6,Turkey,38000
7,Belgium,37073
8,Romania,32000
9,Poland,29873
10,Hungary,29873
11,Ireland,29766
12,Denmark,24875
13,Greece,21739
14,Czech Republic,18000
15,Austria,15411
16,Netherlands,15000
17,Bulgaria,12000
18,Sweden,11012
19,Slovenia,10573
20,Portugal,7900
21,Croatia,5220
22,Finland,4715
23,Norway,4000
24,Slovakia,2287
25,Latvia,2154
26,Lithuania,1220
27,Cyprus,1140
28,Malta,1057
29,Estonia,380
