,Country,Turnover in million euros
0,France,50807.4
1,United Kingdom,46722.2
2,Germany,43092.8
3,Italy,33071.9
4,Spain,22314.0
5,Netherlands,12322.0
6,Sweden,10704.8
7,Belgium,9476.4
8,Austria,8898.8
9,Portugal,5454.2
10,Poland,5386.1
11,Ireland,4254.2
12,Czechia,4038.1
13,Finland,4013.7
14,Denmark,3882.0
15,Greece,3358.1
16,Romania,2205.8
17,Hungary,2145.0
18,Croatia,1016.9
19,Bulgaria,989.5
20,Slovakia,946.7
21,Slovenia,911.7
22,Cyprus,859.2
23,Luxembourg,827.9
24,Lithuania,566.7
25,Estonia,510.4
26,Latvia,493.6
