,Waterpark Location,Attendance in millions
0,"Typhoon Lagoon, Orlando",2.27
1,"Blizzard Beach, Orlando",2.0
2,Universal's Volcano Bay,1.73
3,"Aquatica, Orlando",1.56
4,"Schlitterbahn, New Braunfels",1.02
5,"Water Country USA, Williamsburg",0.73
6,"Adventure Island, Tampa",0.67
7,"Aquatica, San Antonio",0.65
8,"Schlitterbahn, Galveston",0.56
9,"Splish-Splash, Calverton",0.54
10,"Six Flags Hurricane Harbor, Arlington",0.53
11,"Six Flags White Water, Marietta",0.53
12,"Six Flags Hurricane Harbor, Jackson",0.48
13,"Typhoon, Texas",0.45
14,"Zoombezi Bay, Powell",0.44
15,"Camelbeach, Tannersville",0.44
16,"Dollywood's Splash Country, Pigeon Ford",0.44
17,"Cedar Point Shores, Sandusky",0.42
18,"Knott's Soak City, Buena Park",0.41
19,"Wet'n'Wild Emerald Point, Greensboro",0.4
