,Month,Index number of sales per week
0,Oct 20,108.6
1,Sep 20,110.9
2,Aug 20,109.3
3,Jul 20,105.8
4,Jun 20,104.7
5,May 20,97.1
6,Apr 20,60.5
7,Mar 20,94.6
8,Feb 20,95.0
9,Jan 20,91.0
10,Dec 19,92.0
11,Nov 19,90.5
12,Oct 19,82.8
13,Sep 19,87.6
14,Aug 19,90.1
15,Jul 19,95.0
16,Jun 19,92.2
17,May 19,90.8
18,Apr 19,87.4
19,Mar 19,92.3
20,Feb 19,93.1
21,Jan 19,97.5
22,Dec 18,101.3
23,Nov 18,103.1
24,Oct 18,104.3
25,Sep 18,102.9
26,Aug 18,100.9
27,Jul 18,98.0
28,Jun 18,100.3
29,May 18,104.2
30,Apr 18,102.9
31,Mar 18,99.6
32,Feb 18,93.8
33,Jan 18,87.6
34,Dec 17,86.9
35,Nov 17,86.8
36,Oct 17,90.8
37,Sep 17,89.1
38,Aug 17,87.8
39,Jul 17,91.6
40,Jun 17,89.2
41,May 17,89.5
42,Apr 17,98.5
43,Mar 17,91.9
44,Feb 17,94.8
45,Jan 17,93.0
46,Dec16,93.8
47,Nov 16,99.3
48,Oct 16,95.4
49,Sep 16,86.8
50,Aug 16,87.6
51,Jul 16,99.9
52,Jun 16,91.5
53,May 16,92.8
54,Apr 16,89.4
55,Mar 16,86.7
56,Feb 16,95.3
57,Jan 16,93.5
