,Year,Gross domestic product in billion U.S. dollars
0,2024*,123.45
1,2023*,114.46
2,2022*,106.38
3,2021*,98.98
4,2020*,92.11
5,2019*,86.57
6,2018,88.9
7,2017,88.01
8,2016,82.39
9,2015,80.56
10,2014,79.31
11,2013,74.28
12,2012,68.42
13,2011,65.27
14,2010,56.71
15,2009,48.11
16,2008,46.6
17,2007,37.04
18,2006,32.36
19,2005,27.95
20,2004,23.66
21,2003,21.62
22,2002,19.59
23,2001,18.61
24,2000,19.37
25,1999,18.53
26,1998,18.43
27,1997,17.89
28,1996,16.05
29,1995,14.64
30,1994,13.78
31,1993,11.95
32,1992,11.18
33,1991,10.37
34,1990,9.47
35,1989,8.27
36,1988,8.24
37,1987,7.88
38,1986,7.57
39,1985,7.06
40,1984,7.14
