,Year,Number of arrests
0,2019,10085207
1,2018,10310960
2,2017,10554985
3,2016,10662252
4,2015,10797088
5,2014,11205833
6,2013,11302102
7,2012,12196959
8,2011,12408899
9,2010,13120947
10,2009,13687241
11,2008,14005615
12,2007,14209365
13,2006,14380370
14,2005,14094186
15,2004,13938071
16,2003,13639500
17,2002,13741400
18,2001,13699300
19,2000,13980300
20,1999,14031100
21,1998,14528300
22,1997,15284300
23,1996,15168100
24,1995,15119800
25,1994,14648700
26,1993,14036300
27,1992,14075100
28,1991,14211900
29,1990,14195100
