,Year,Inflation rate compared to previous year
0,2025*,1.7%
1,2024*,1.6%
2,2023*,1.5%
3,2022*,1.4%
4,2021*,1.2%
5,2020*,1%
6,2019,1.11%
7,2018,1.28%
8,2017,0.78%
9,2016,-1.44%
10,2015,0.14%
11,2014,-0.24%
12,2013,1.51%
13,2012,2.54%
14,2011,4.47%
15,2010,2.07%
16,2009,1.01%
17,2008,6.77%
18,2007,4.4%
19,2006,4.84%
20,2005,0.43%
21,2004,-1.89%
22,2003,1.19%
23,2002,1.92%
24,2001,3.67%
25,2000,-2.4%
26,1999,4.34%
27,1998,4.4%
28,1997,8.57%
29,1996,6.01%
30,1995,8.41%
31,1994,3.34%
32,1993,5.83%
33,1992,13.43%
34,1991,7.59%
35,1990,11.11%
36,1989,4.65%
37,1988,3.61%
38,1987,3.75%
39,1986,11.11%
40,1985,5.88%
