,Month,House price index
0,Aug '20,119.7
1,Jul '20,117.22
2,Jun '20,117.69
3,May '20,119.77
4,Apr '20,117.9
5,Mar '20,118.6
6,Feb '20,119.15
7,Jan '20,118.94
8,Dec '19,118.87
9,Nov '19,116.15
10,Oct '19,117.51
11,Sep '19,118.43
12,Aug '19,117.35
13,Jul '19,118.78
14,Jun '19,116.8
15,May '19,115.09
16,Apr '19,116.55
17,Mar '19,115.22
18,Feb '19,115.69
19,Jan '19,116.69
20,Dec '18,115.53
21,Nov '18,117.8
22,Oct '18,119.1
23,Sep '18,118.29
24,Aug '18,119.04
25,Jul '18,120.32
26,Jun '18,119.13
27,May '18,118.78
28,Apr '18,118.47
29,Mar '18,117.25
30,Feb '18,118.62
31,Jan '18,119.1
32,Dec '17,118.37
33,Nov '17,118.23
34,Oct '17,119.59
35,Sep '17,120.1
36,Aug '17,120.91
37,July '17,121.27
38,Jun '17,119.19
39,May '17,119.38
40,Apr '17,119.1
41,Mar '17,118.02
42,Feb '17,118.34
43,Jan '17,118.06
