,Quarter,Percentage of e-commerce sales
0,Q4 '19*,11.4%
1,Q3 '19,11.2%
2,Q2 '19,10.8%
3,Q1 '19,10.5%
4,Q4 '18,10.1%
5,Q3 '18,10%
6,Q2 '18,9.8%
7,Q1 '18,9.4%
8,Q4 '17,9.1%
9,Q3 '17,9.1%
10,Q2 '17,8.9%
11,Q1 '17,8.5%
12,Q4 '16,8.2%
13,Q3 '16,8.2%
14,Q2 '16,8%
15,Q1 '16,7.8%
16,Q4 '15,7.5%
17,Q3 '15,7.3%
18,Q2 '15,7.1%
19,Q1 '15,6.9%
20,Q4 '14,6.6%
21,Q3 '14,6.5%
22,Q2 '14,6.3%
23,Q1 '14,6.2%
24,Q4 '13,6.1%
25,Q3 '13,5.9%
26,Q2 '13,5.8%
27,Q1 '13,5.6%
28,Q4 '12,5.5%
29,Q3 '12,5.4%
30,Q2 '12,5.3%
31,Q1 '12,5.1%
32,Q4 '11,5.1%
33,Q3 '11,4.9%
34,Q2 '11,4.8%
35,Q1 '11,4.7%
36,Q4 '10,4.6%
37,Q3 '10,4.6%
38,Q2 '10,4.4%
39,Q1 '10,4.2%
