,Country,Production value in million euros
0,Italy,22616.6
1,Denmark,2005.5
2,United Kingdom,9303.1
3,Poland,11550.4
4,France,6950.9
5,Estonia,584.1
6,Spain,5797.5
7,Netherlands,3974.1
8,Austria,3169.6
9,Sweden,2621.9
10,Romania,2114.2
11,Czechia,1592.2
12,Portugal,1833.5
13,Lithuania,1656.9
14,Bulgaria,657.9
15,Finland,1146.9
16,Slovakia,959.9
17,Hungary,745.4
18,Ireland *,-
19,Germany,21459.7
20,Belgium,1903.5
21,Greece,492.5
22,Croatia,521.1
23,Slovenia,448.5
24,Latvia,287.7
25,Malta,57.4
26,Cyprus,58
27,Luxembourg,17.5
