,federal subject,"Cases per 100,000 population"
0,Altai Republic,5123.1
1,Yamalo-Nenets Autonomous Okrug,4842.4
2,Moscow,4772.3
3,Kalmykia Republic,4301.3
4,Magadan Oblast,4054.2
5,Tyva Republic,3789.7
6,Murmansk Oblast,3697.7
7,Arkhangelsk Oblast,2859.2
8,Karachay-Cherkess Republic,2624.6
9,Komi Republic,2600.8
10,Karelia Republic,2458.9
11,Kamchatka Krai,2447.2
12,Saint Petersburg,2334.6
13,Sakhalin Oblast,2319.0
14,Khakassia Republic,2258.2
15,Ulyanovsk Oblast,2244.6
16,Orel Oblast,2189.6
17,Sakha (Yakutia) Republic,2067.2
18,Khanty-Mansi Autonomous Okrug - Yugra,2051.4
19,Novgorod Oblast,1982.3
20,Pskov Oblast,1966.6
21,Buryatia Republic,1916.8
22,Ingushetia Republic,1869.2
23,Khabarovsk Krai,1868.0
24,Jewish Autonomous Oblast,1864.5
25,Zabaykalsky Krai,1815.5
26,Kostroma Oblast,1799.4
27,Adygea Republic,1736.7
28,Tomsk Oblast,1709.2
29,Nizhny Novgorod Oblast,1700.6
30,Kaluga Oblast,1598.7
31,Ivanovo Oblast,1586.7
32,Russia on average,1564.4
33,Penza Oblast,1549.7
34,Nenets Autonomous Okrug,1484.9
35,Voronezh Oblast,1481.9
36,Kabardino-Balkarian Republic,1464.3
37,Bryansk Oblast,1449.6
38,Moscow Oblast,1444.2
39,Amur Oblast,1439.3
40,Kirov Oblast,1430.4
41,Kursk Oblast,1385.2
42,Astrakhan Oblast,1363.4
43,Mordovia Republic,1359.2
44,North Ossetia - Alania Republic,1343.6
45,Irkutsk Oblast,1342.1
46,Smolensk Oblast,1317.1
47,Tambov Oblast,1311.5
48,Yaroslavl Oblast,1311.3
49,Ryazan Oblast,1267.9
50,Krasnoyarsk Krai,1263.4
51,Tver Oblast,1201.9
52,Tyumen Oblast,1187.9
53,Orenburg Oblast,1184.9
54,Omsk Oblast,1171.2
55,Primorsky Krai,1156.3
56,Tula Oblast,1132.7
57,Kaliningrad Oblast,1132.7
58,Altai Krai,1127.7
59,Saratov Oblast,1121.7
60,Mari El Republic,1115.6
61,Volgograd Oblast,1090.2
62,Sverdlovsk Oblast,1074.6
63,Kurgan Oblast,1051.6
64,Vologda Oblast,1049.0
65,Belgorod Oblast,1047.3
66,Chuvashia Republic,1031.6
67,Stavropol Krai,988.7
68,Lipetsk Oblast,986.6
69,Vladimir Oblast,974.5
70,Sevastopol,968.3
71,Rostov Oblast,953.6
72,Leningrad Oblast,903.2
73,Udmurt Republic,890.6
74,Novosibirsk Oblast,810.8
75,Crimea Republic,804.0
76,Perm Krai,795.7
77,Kemerovo Oblast,781.7
78,Chukotka Autonomous Okrug,766.9
79,Chelyabinsk Oblast,728.3
80,Samara Oblast,703.2
81,Dagestan Republic,610.2
82,Krasnodar Krai,389.0
83,Bashkortostan Republic,353.3
84,Chechen Republic,296.2
85,Tatarstan Republic,264.9
