,Month,Value in billion U.S. dollars
0,Aug 20,169.8
1,Jul 20,117.8
2,Jun 20,84.1
3,May 20,24.2
4,Apr 20,19.3
5,Mar 20,59.3
6,Feb 20,120.9
7,Jan 20,77.8
8,Dec 19,137.2
9,Nov 19,125.7
10,Oct 19,122.3
11,Sep 19,71.8
12,Aug 19,184.9
13,Jul 19,153.3
14,Jun 19,323.9
15,May 19,158.4
16,Apr 19,144.6
17,Mar 19,135.8
18,Feb 19,140.4
19,Jan 19,203.9
20,Dec 18,99.7
21,Nov 18,126.6
22,Oct 18,167.7
23,Sep 18,155.3
24,Aug 18,167.8
25,Jul 18,142.3
26,Jun 18,163.7
27,May 18,187.0
28,Apr 18,260.8
29,Mar 18,195.8
30,Feb 18,144.5
31,Jan 18,196.1
32,Dec 17,276.4
33,Nov 17,117.5
34,Oct 17,120.4
35,Sep 17,115.9
36,Aug 17,156.6
