,Year,Gross domestic product in billion international dollars
0,2021*,3.26
1,2020*,2.97
2,2019,3.36
3,2018,3.29
4,2017,3.15
5,2016,3.03
6,2015,3.0
7,2014,2.89
8,2013,2.73
9,2012,2.65
10,2011,2.54
11,2010,2.44
12,2009,2.34
13,2008,2.32
14,2007,2.2
15,2006,2.13
16,2005,1.97
17,2004,1.89
18,2003,1.76
19,2002,1.58
20,2001,1.48
21,2000,1.38
22,1999,1.19
23,1998,1.08
24,1997,1.03
25,1996,0.98
26,1995,0.95
27,1994,0.92
28,1993,0.9
29,1992,0.83
30,1991,0.72
31,1990,0.63
32,1989,0.54
33,1988,0.45
34,1987,0.39
35,1986,0.32
36,1985,0.29
37,1984,0.28
