,State,Revenue in million U.S. dollars
0,Nevada,11917.37
1,Pennsylvania,3251.2
2,New Jersey,2903.48
3,New York,2587.74
4,Louisiana,2561.46
5,Indiana,2240.84
6,Mississippi,2142.06
7,Ohio,1863.94
8,Missouri,1754.47
9,Maryland,1746.36
10,Iowa,1467.33
11,Michigan,1444.1
12,Illinois,1373.46
13,Colorado,842.1
14,Rhode Island,656.55
15,West Virginia,623.76
16,Florida,569.02
17,Delaware,432.51
18,Kansas,408.57
19,Massachusetts,273.07
20,New Mexico,235.45
21,Maine,143.73
22,Oklahoma,139.61
23,South Dakota,106.32
24,Total,41684.0
