,Year,Gross domestic product in billion international dollars
0,2021*,4167.8
1,2020*,3778.13
2,2019,3735.64
3,2018,3495.97
4,2017,3245.06
5,2016,3031.39
6,2015,2856.55
7,2014,2695.67
8,2013,2520.49
9,2012,2346.63
10,2011,2171.52
11,2010,2003.48
12,2009,1861.67
13,2008,1764.61
14,2007,1661.06
15,2006,1475.3
16,2005,1357.3
17,2004,1245.41
18,2003,1154.67
19,2002,1081.9
20,2001,1019.19
21,2000,962.26
22,1999,896.58
23,1998,876.88
24,1997,998.14
25,1996,937.18
26,1995,853.59
27,1994,772.56
28,1993,703.37
29,1992,636.46
30,1991,584.17
31,1990,518.74
32,1989,458.74
33,1988,404.67
34,1987,365.38
35,1986,334.57
36,1985,305.98
37,1984,285.45
