,Year,Inflation rate compared to previous year
0,2024*,1.93%
1,2023*,1.88%
2,2022*,1.95%
3,2021*,1.87%
4,2020*,1.74%
5,2019*,1.73%
6,2018,2.02%
7,2017,2.11%
8,2016,0.04%
9,2015,0.06%
10,2014,0.7%
11,2013,1.7%
12,2012,2.89%
13,2011,3.73%
14,2010,2.8%
15,2009,0.01%
16,2008,4.09%
17,2007,2.66%
18,2006,2.96%
19,2005,3.76%
20,2004,3.24%
21,2003,2.53%
22,2002,2.06%
23,2001,2.4%
24,2000,3.78%
25,1999,1.02%
26,1998,0.97%
27,1997,1.37%
28,1996,1.56%
29,1995,1.9%
30,1994,2.2%
31,1993,3.6%
32,1992,3.2%
33,1991,3.1%
34,1990,3.7%
35,1989,3.4%
36,1988,1.4%
37,1987,-0.1%
38,1986,0.3%
39,1985,4.09%
40,1984,5.64%
