,university,Academic reputation index score
0,Universidade de São Paulo (USP) (Brazil),82.4
1,Universidad Nacional Autónoma de México (UNAM) (Mexico),80.7
2,Pontificia Universidad Católica de Chile (UC) (Chile),77.8
3,Universidad de Buenos Aires (UBA) (Argentina),76.6
4,Universidade Estadual de Campinas (Unicamp) (Brazil),76.2
5,Universidad de Chile (Chile),75.1
6,Universidad Nacional de Colombia (Colombia),74.8
7,Universidade Federal do Rio de Janeiro (UFRJ) (Brazil),71.2
8,UNESP (Brazil),71.0
9,Pontificia Universidad Javeriana (Colombia),69.5
