,Quarter,Exports in billion U.S. dollars
0,Q3 '19,625.79
1,Q2 '19,626.95
2,Q1 '19,626.97
3,Q4 '18,623.76
4,Q3 '18,626.24
5,Q2 '18,633.19
6,Q1 '18,618.12
7,Q4 '17,608.92
8,Q3 '17,588.48
9,Q2 '17,578.04
10,Q1 '17,577.11
11,Q4 '16,563.69
12,Q3 '16,562.72
13,Q2 '16,550.03
14,Q1 '16,539.4
15,Q4 '15,553.37
16,Q3 '15,565.4
17,Q2 '15,574.84
18,Q1 '15,573.08
19,Q4 '14,595.01
20,Q3 '14,598.3
21,Q2 '14,596.77
22,Q1 '14,586.58
23,Q4 '13,584.68
24,Q3 '13,571.86
25,Q2 '13,569.85
26,Q1 '13,567.8
27,Q4 '12,558.24
28,Q3 '12,555.81
29,Q2 '12,555.34
30,Q1 '12,548.96
31,Q4 '11,542.11
32,Q3 '11,542.27
33,Q2 '11,530.56
34,Q1 '11,511.02
35,Q4 '10,494.54
36,Q3 '10,468.16
37,Q2 '10,452.32
38,Q1 '10,438.02
