,Country,Number of soldiers
0,United States,28970
1,United Kingdom,3906
2,Germany,1599
3,Italy,1411
4,Georgia,755
5,Jordan,626
6,Turkey,393
7,Romania,327
8,Bulgaria,320
9,Poland,304
10,Slovakia,277
11,Australia,273
12,Czech Republic,227
13,Spain,181
14,Belgium,160
15,Croatia,153
16,Denmark,145
17,Armenia,121
18,Hungary,101
19,Azerbaijan,94
20,Finland,88
21,France,88
22,Lithuania,84
23,Norway,57
24,Republic of Korea,50
25,Mongolia,40
26,Portugal,37
27,United Arab Emirates,35
28,Montenegro,25
29,Albania,22
30,Sweden,13
31,Latvia,11
32,Ukraine,10
33,Greece,9
34,Bosnia-Herzegovina,8
35,Ireland,7
36,Estonia,4
37,Austria,3
38,The former Yugoslav republic of Macedonia*,152
39,Malaysia,2
40,Slovenia,2
41,Iceland,2
42,New Zealand,1
43,Luxembourg,1
