,geographic region,Number of internet users in millions
0,Eastern Asia,1102.05
1,Southern Asia,816.93
2,Southeast Asia,483.22
3,Northern America,398.01
4,Central & Western Europe,280.38
5,South America,274.49
6,Eastern Europe,179.8
7,Southern Europe,174.92
8,Western Asia,166.56
9,Western Africa,155.65
10,Eastern Africa,131.29
11,Northern Africa,124.89
12,Central Asia,43.85
13,Southern Africa,37.9
14,Central America,29.69
15,Northern Europe,29.13
16,Australia & Oceania,27.06
17,Central Africa,24.91
18,Caribbean,21.63
