,Year,Inflation rate compared to previous year
0,2025*,1.7%
1,2024*,1.4%
2,2023*,1.2%
3,2022*,1%
4,2021*,1.02%
5,2020*,-0.63%
6,2019,0.56%
7,2018,0.78%
8,2017,0.68%
9,2016,-1.22%
10,2015,-1.54%
11,2014,-0.27%
12,2013,0.38%
13,2012,3.09%
14,2011,3.48%
15,2010,2.56%
16,2009,0.18%
17,2008,4.38%
18,2007,2.17%
19,2006,2.25%
20,2005,2.03%
21,2004,1.9%
22,2003,3.98%
23,2002,2.78%
24,2001,1.99%
25,2000,4.86%
26,1999,1.14%
27,1998,2.34%
28,1997,3.31%
29,1996,2.58%
30,1995,2.61%
31,1994,4.66%
32,1993,4.89%
33,1992,6.5%
34,1991,5.04%
35,1990,4.5%
36,1989,3.77%
37,1988,3.43%
38,1987,2.68%
39,1986,1.22%
40,1985,5.03%
