,Year,GDP per capita in U.S. dollars
0,2025*,2826.2
1,2024*,2755.57
2,2023*,2692.41
3,2022*,2608.44
4,2021*,2595.61
5,2020*,2651.52
6,2019*,2884.33
7,2018*,2853.24
8,2017*,2755.49
9,2016*,2567.58
10,2015*,2742.92
11,2014,2992.71
12,2013,2800.16
13,2012,2865.81
14,2011,2552.03
15,2010,2132.18
16,2009,1833.08
17,2008,1883.5
18,2007,1576.14
19,2006,1403.68
20,2005,1264.81
21,2004,1111.44
22,2003,1012.58
23,2002,850.61
24,2001,877.09
25,2000,1025.04
26,1999,1030.84
27,1998,1158.16
28,1997,1554.0
29,1996,1668.29
30,1995,1609.13
31,1994,1866.89
32,1993,1743.47
33,1992,1573.47
34,1991,1469.26
35,1990,1287.93
36,1989,1480.33
37,1988,1592.38
38,1987,1180.0
39,1986,1057.89
40,1985,992.94
