,Year,Investment position in billion U.S. dollars
0,'19,-10991.4
1,'18,-9717.1
2,'17,-7725.0
3,'16,-8181.59
4,'15,-7356.78
5,'14,-7019.7
6,'13,-5383.0
7,'12,-4578.24
8,'11,-4455.0
9,'10,-2511.79
10,'09,-2627.63
11,'08,-3995.3
12,'07,-1279.49
13,'06,-1808.47
14,'05,-1932.15
15,'04,-2253.03
16,'03,-2093.79
17,'02,-2044.63
18,'01,-1875.03
19,'00,-1337.01
20,'99,-731.07
21,'98,-858.36
22,'97,-786.17
23,'96,-463.34
24,'95,-430.19
25,'94,-298.46
26,'93,-284.46
27,'92,-411.02
28,'91,-291.75
29,'90,-230.38
