,Company (Country of origin),Retail revenue in billion U.S. dollars
0,"Wal-Mart Stores, Inc (United States)",514.41
1,Costco Wholesale Corporation (United States),141.58
2,"Amazon.com, Inc. (United States)",140.21
3,Schwarz Group (Germany),121.58
4,The Kroger Co. (United States)*,117.53
5,"Walgreens Boots Alliance, Inc (United States)",110.67
6,"The Home Depot, Inc. (United States)",108.2
7,Aldi Einkauf GmbH & Co. oHG (Germany)*,106.18
8,CVS Health Corporation (United States),83.99
9,Tesco PLC (United Kingdom),82.8
10,Target Corporation (United States),74.43
11,Ahold Delhaize (Netherlands),74.08
12,"Aeon Co., Ltd. (Japan)",71.45
13,"Lowe's Companies, Inc. (United States)",71.31
14,"JD.com, Inc (China)",62.88
15,Edeka Group (Germany)**,62.05
16,"Albertsons Companies, Inc. (United States)",60.54
17,Auchan Holding SA (France),59.3
18,"Seven & i Holdings Co., Ltd. (Japan)**",59.1
19,Rewe Group (Germany)**,56.44
20,Centres Distributeurs E. Leclerc (France)***,44.48
21,Casino Guichard-Perrachon S.A. (France)**,43.18
22,"Best Buy Co., Inc. (United States)",42.88
23,Woolworths Limited (Australia),41.69
24,The IKEA Group (INGKA Holding B.V.) (Netherlands),41.47
25,"The TJX Companies, Inc. (United States)",38.97
26,LVMH Moët Hennessy-Louis Vuitton S.A. (France),37.85
27,J Sainsbury plc (United Kingdom),37.52
28,ITM Développement International (Intermarché) (France)***,36.63
29,"Publix Super Markets, Inc. (United States)",36.4
30,Loblaw Companies Limited (Canada)**,35.36
31,"Suning.com Co., Ltd. (China)",35.16
32,"Inditex, S.A. (Spain)**",30.67
33,Metro Ag (Germany)*,28.72
34,Coles Group Limited,27.29
35,"Mercadona, S.A. (Spain)",26.26
36,Dollar General Corporation (United States),25.63
37,Ceconomy AG (Germany),25.48
38,Migros-Genossenschafts Bund (Switzerland) ***,25.13
39,H.E. Butt Grocery Company (United States)*,25.0
40,"Macy's, Inc. (United States)**",24.97
41,X5 Retail Group N.V. (Russia),24.39
42,H & M Hennes & Mauritz AB (Sweden)**,24.32
43,"Système U, Centrale Nationale (France)***",23.57
44,Wm Morrison Supermarkets PLC (United Kingdom),23.51
45,Coop Group (Switzerland)***,23.47
46,Groupe Adeo SA (France)***,23.16
47,"Dollar Tree, Inc. (United States)",22.82
48,A.S. Watson Group (Hong Kong SAR)**,21.56
49,"Jerónimo Martins, SGPS, S.A. (Portugal)",20.45
