,Year,Year over year foot traffic growth (2020 vs. 2019)
0,13-Sep,-11%
1,12-Sep,2%
2,11-Sep,2%
3,10-Sep,7%
4,9-Sep,9%
5,8-Sep,22%
6,7-Sep,0%
7,6-Sep,-15%
8,5-Sep,-9%
9,4-Sep,15%
10,3-Sep,12%
11,2-Sep,7%
12,1-Sep,-18%
13,31-Aug,0%
14,30-Aug,-12%
15,29-Aug,1%
16,28-Aug,-11%
17,27-Aug,-5%
18,26-Aug,-5%
19,25-Aug,0%
20,24-Aug,-1%
21,23-Aug,-11%
22,22-Aug,0%
23,21-Aug,7%
24,20-Aug,6%
25,19-Aug,4%
26,18-Aug,3%
27,17-Aug,2%
28,16-Aug,-7%
29,15-Aug,0%
30,14-Aug,5%
31,13-Aug,6%
32,12-Aug,4%
33,11-Aug,6%
34,10-Aug,3%
35,9-Aug,-8%
36,8-Aug,1%
37,7-Aug,8%
38,6-Aug,10%
39,5-Aug,13%
40,4-Aug,0%
41,3-Aug,1%
42,2-Aug,-5%
43,1-Aug,1%
44,31-Jul,7%
45,30-Jul,7%
46,29-Jul,2%
47,28-Jul,5%
48,27-Jul,-2%
49,26-Jul,-10%
50,25-Jul,1%
51,24-Jul,5%
52,23-Jul,8%
53,22-Jul,7%
54,21-Jul,3%
55,20-Jul,0%
56,19-Jul,-11%
57,18-Jul,-3%
58,17-Jul,6%
59,16-Jul,6%
60,15-Jul,6%
61,14-Jul,6%
62,13-Jul,-1%
63,12-Jul,-11%
64,11-Jul,0%
65,10-Jul,5%
66,9-Jul,8%
67,8-Jul,5%
68,7-Jul,4%
69,6-Jul,4%
70,5-Jul,-7%
71,4-Jul,0%
72,3-Jul,20%
73,2-Jul,0%
74,1-Jul,-21%
75,30-Jun,-9%
76,29-Jun,-9%
77,28-Jun,-15%
78,27-Jun,-8%
79,26-Jun,1%
80,25-Jun,2%
81,24-Jun,7%
82,23-Jun,-4%
83,22-Jun,-12%
84,21-Jun,-27%
85,20-Jun,8%
86,19-Jun,11%
87,18-Jun,8%
88,17-Jun,2%
89,16-Jun,3%
90,15-Jun,-4%
91,14-Jun,-10%
92,13-Jun,-8%
93,12-Jun,-5%
94,11-Jun,-6%
95,10-Jun,-6%
96,9-Jun,-4%
97,8-Jun,-7%
98,7-Jun,-19%
99,6-Jun,-8%
100,5-Jun,-3%
101,4-Jun,-4%
102,3-Jun,-5%
103,2-Jun,-9%
104,1-Jun,-16%
105,31-May,-27%
106,30-May,-14%
107,29-May,-7%
108,28-May,-3%
109,27-May,-6%
110,26-May,-11%
111,25-May,-48%
112,24-May,-28%
113,23-May,-18%
114,22-May,-11%
115,21-May,-8%
116,20-May,-9%
117,19-May,-3%
118,18-May,-11%
119,17-May,-30%
120,16-May,-16%
121,15-May,-9%
122,14-May,-7%
123,13-May,-12%
124,12-May,-12%
125,11-May,-19%
126,10-May,-40%
127,9-May,-20%
128,8-May,-12%
129,7-May,-10%
130,6-May,-9%
131,5-May,-7%
132,4-May,-20%
133,3-May,-35%
134,2-May,-21%
135,1-May,-14%
136,30-Apr,-6%
137,29-Apr,-10%
138,28-Apr,-7%
139,27-Apr,-21%
140,26-Apr,-43%
141,25-Apr,-26%
142,24-Apr,-20%
143,23-Apr,-16%
144,22-Apr,-19%
145,21-Apr,-20%
146,20-Apr,-37%
147,19-Apr,0%
148,18-Apr,-39%
149,17-Apr,-39%
150,16-Apr,-27%
151,15-Apr,-26%
152,14-Apr,-20%
153,13-Apr,-31%
154,12-Apr,0%
155,11-Apr,-35%
156,10-Apr,-23%
157,9-Apr,-18%
158,8-Apr,-25%
159,7-Apr,-26%
160,6-Apr,-30%
161,5-Apr,-54%
162,4-Apr,-39%
163,3-Apr,-29%
164,2-Apr,-18%
165,1-Apr,-20%
166,31-Mar,-19%
167,30-Mar,-34%
168,29-Mar,-51%
169,28-Mar,-38%
170,27-Mar,-24%
171,26-Mar,-15%
172,25-Mar,-17%
173,24-Mar,-15%
174,23-Mar,-18%
175,22-Mar,-37%
176,21-Mar,-58%
177,20-Mar,-22%
178,19-Mar,10%
179,18-Mar,13%
180,17-Mar,18%
181,16-Mar,39%
182,15-Mar,-13%
183,14-Mar,3%
184,13-Mar,66%
185,12-Mar,96%
186,11-Mar,50%
187,10-Mar,35%
188,9-Mar,20%
189,8-Mar,4%
190,7-Mar,10%
191,6-Mar,22%
192,5-Mar,23%
193,4-Mar,28%
194,3-Mar,34%
195,2-Mar,33%
196,1-Mar,16%
197,29-Feb,19%
198,28-Feb,19%
199,27-Feb,16%
200,26-Feb,15%
201,25-Feb,7%
202,24-Feb,6%
203,23-Feb,9%
204,22-Feb,4%
205,21-Feb,3%
206,20-Feb,2%
207,19-Feb,11%
208,18-Feb,-2%
209,17-Feb,5%
210,16-Feb,3%
211,15-Feb,0%
212,14-Feb,12%
213,13-Feb,12%
214,12-Feb,-4%
215,11-Feb,8%
216,10-Feb,5%
217,9-Feb,7%
218,8-Feb,10%
219,7-Feb,4%
220,6-Feb,-6%
221,5-Feb,6%
222,4-Feb,1%
223,3-Feb,5%
224,2-Feb,1%
225,1-Feb,8%
