,State,GDP in billion current U.S. dollars
0,California,2968.12
1,Texas,1775.8
2,New York,1676.35
3,Florida,1036.32
4,Illinois,864.59
5,Pennsylvania,788.54
6,Ohio,676.19
7,New Jersey,624.85
8,Georgia,588.17
9,Massachusetts,567.25
10,North Carolina,565.8
11,Washington,563.15
12,Virginia,534.45
13,Michigan,528.01
14,Maryland,412.92
15,Colorado,368.8
16,Minnesota,368.32
17,Indiana,366.71
18,Tennessee,365.6
19,Arizona,346.79
20,Wisconsin,336.97
21,Missouri,317.75
22,Connecticut,274.18
23,Louisiana,252.12
24,Oregon,238.68
25,South Carolina,230.35
26,Alabama,221.13
27,Kentucky,208.34
28,Oklahoma,199.98
29,Iowa,190.15
30,Utah,177.34
31,Kansas,167.04
32,Nevada,165.8
33,District of Columbia,140.28
34,Arkansas,128.08
35,Nebraska,122.97
36,Mississippi,114.11
37,New Mexico,99.43
38,Hawaii,92.03
39,New Hampshire,84.71
40,West Virginia,77.48
41,Idaho,77.0
42,Delaware,74.97
43,Maine,64.35
44,Rhode Island,61.02
45,North Dakota,54.71
46,Alaska,54.01
47,South Dakota,51.58
48,Montana,48.97
49,Wyoming,39.37
50,Vermont,33.73
