,Year,Inflation rate compared to previous year
0,2025*,2.5%
1,2024*,2.5%
2,2023*,2.8%
3,2022*,3%
4,2021*,3.4%
5,2020*,1%
6,2019,0.13%
7,2018,0.88%
8,2017,1.6%
9,2016,1.11%
10,2015,0.07%
11,2014,1.01%
12,2013,1.25%
13,2012,2.94%
14,2011,4.03%
15,2010,3.26%
16,2009,3.54%
17,2008,12.56%
18,2007,5.89%
19,2006,3.2%
20,2005,1.86%
21,2004,0.76%
22,2003,0.19%
23,2002,-0.29%
24,2001,-0.84%
25,2000,-1.2%
26,1999,0.51%
27,1998,0.43%
28,1997,-0.36%
29,1996,0.5%
30,1995,-1.13%
31,1994,-0.66%
32,1993,1.14%
33,1992,0.96%
34,1991,4.6%
35,1990,10.01%
36,1989,1.56%
37,1988,1.59%
38,1987,2.56%
39,1986,7.64%
40,1985,-3.97%
