,Year,Life expectancy in years
0,2020,69.27
1,2015,67.77
2,2010,65.53
3,2005,63.5
4,2000,61.47
5,1995,59.12
6,1990,56.69
7,1985,54.91
8,1980,52.51
9,1975,49.37
10,1970,46.1
11,1965,42.94
12,1960,39.93
13,1955,36.98
14,1950,33.94
15,1945,32.74
16,1940,31.61
17,1935,29.97
18,1930,27.98
19,1925,25.75
20,1920,21.16
21,1915,23.53
22,1910,22.15
23,1905,22.79
24,1900,22.01
25,1895,23.55
26,1890,24.54
27,1885,25.21
28,1880,21.98
29,1875,25.38
30,1870,23.66
31,1865,24.68
32,1860,24.95
33,1855,25.44
34,1850,25.44
35,1845,25.44
36,1840,24.91
37,1835,24.27
38,1830,25.44
39,1825,25.44
40,1820,25.44
41,1815,24.95
42,1810,25.44
43,1805,24.68
44,1800,25.44
