,Month,Number of registered clients
0,January-March 2020,329038
1,October-December 2019,358864
2,July-September 2019,369614
3,April-June 2019,363917
4,January-March 2019,355302
5,October-December 2018,353642
6,July-September 2018,342103
7,April-June 2018,330344
8,January-March 2018,296702
9,October-December 2017,269502
10,July-September 2017,235621
11,April-June 2017,201398
12,January-March 2017,167754
13,October-December 2016,129876
14,July-September 2016,98460
15,April-June 2016,75166
16,January-March 2016,53649
17,October-December 2015,39668
18,July-September 2015,30537
19,April-June 2015,23930
