,State,Rate of theft recoveries
0,Wyoming,74%
1,Utah,57%
2,Arkansas,54%
3,Washington,52%
4,Alaska,52%
5,North Dakota,52%
6,Wisconsin,51%
7,Colorado,50%
8,South Dakota,49%
9,Nevada,47%
10,Oklahoma,47%
11,Kentucky,47%
12,Vermont,47%
13,Idaho,46%
14,Minnesota,46%
15,Hawaii,46%
16,Missouri,45%
17,Oregon,45%
18,California,45%
19,District of Columbia,45%
20,Maine,45%
21,Arizona,45%
22,Iowa,43%
23,Montana,43%
24,Kansas,42%
25,New Hampshire,41%
26,Indiana,41%
27,West Virginia,41%
28,Nebraska,40%
29,New Mexico,40%
30,South Carolina,40%
31,Tennessee,40%
32,Ohio,39%
33,Alabama,39%
34,Florida,38%
35,Texas,35%
36,Illinois,34%
37,North Carolina,34%
38,Michigan,33%
39,Rhode Island,32%
40,Georgia,32%
41,Mississippi,30%
42,Louisiana,29%
43,Virginia,29%
44,Maryland,29%
45,Delaware,29%
46,New York,28%
47,Pennsylvania,28%
48,Massachusetts,26%
49,New Jersey,24%
50,Connecticut,22%
