,Year,GDP per capita in U.S. dollars
0,2025*,19527.72
1,2024*,18685.89
2,2023*,17945.27
3,2022*,17143.65
4,2021*,16297.36
5,2020*,15331.72
6,2019*,16110.74
7,2018*,17064.6
8,2017*,17041.72
9,2016*,15139.12
10,2015,15365.96
11,2014,16572.36
12,2013,16723.45
13,2012,14961.68
14,2011,14054.33
15,2010,11859.9
16,2009,9372.49
17,2008,9029.33
18,2007,6984.82
19,2006,5842.81
20,2005,5189.89
21,2004,4102.58
22,2003,3614.63
23,2002,4073.42
24,2001,6238.21
25,2000,6817.36
26,1999,7193.47
27,1998,7667.11
28,1997,7295.99
29,1996,6974.81
30,1995,6601.54
31,1994,6015.24
32,1993,5213.03
33,1992,4501.82
34,1991,3940.85
35,1990,3289.12
36,1989,2842.58
37,1988,2712.19
38,1987,2637.02
39,1986,2119.54
40,1985,1716.87
