,Month,Number of people
0,Mar 1,3
1,Mar 2,0
2,Mar 3,2
3,Mar 4,0
4,Mar 5,3
5,Mar 6,11
6,Mar 7,6
7,Mar 8,7
8,Mar 9,25
9,Mar 10,6
10,Mar 11,31
11,Mar 12,22
12,Mar 13,25
13,Mar 14,48
14,Mar 15,109
15,Mar 16,85
16,Mar 17,67
17,Mar 18,110
18,Mar 19,205
19,Mar 20,124
20,Mar 21,158
21,Mar 22,114
22,Mar 23,126
23,Mar 24,185
24,Mar 25,291
25,Mar 26,259
26,Mar 27,373
27,Mar 28,262
28,Mar 29,160
29,Mar 30,184
30,Mar 31,307
31,Apr 1,281
32,Apr 2,269
33,Apr 3,332
34,Apr 4,282
35,Apr 5,115
36,Apr 6,235
37,Apr 7,195
38,Apr 8,295
39,Apr 9,257
40,Apr 10,163
41,Apr 11,170
42,Apr 12,89
43,Apr 13,68
44,Apr 14,82
45,Apr 15,160
46,Apr 16,132
47,Apr 17,116
48,Apr 18,105
49,Apr 19,92
50,Apr 20,154
51,Apr 21,133
52,Apr 22,99
53,Apr 23,55
54,Apr 24,86
55,Apr 25,79
56,Apr 26,52
57,Apr 27,41
58,Apr 28,59
59,Apr 29,75
60,Apr 30,103
61,May 1,55
62,May 2,18
63,May 3,26
64,May 4,38
65,May 5,77
66,May 6,78
67,May 7,57
68,May 8,46
69,May 9,18
70,May 10,28
71,May 11,53
72,May 12,45
73,May 13,48
74,May 14,82
75,May 15,55
76,May 16,49
77,May 17,20
78,May 18,111
79,May 19,61
80,May 20,74
81,May 21,33
82,May 22,59
83,May 23,77
84,May 24,65
85,May 25,47
86,May 26,48
87,May 27,36
88,May 28,54
89,May 29,56
90,May 30,34
91,May 31,38
92,Jun 1,34
93,Jun 2,62
94,Jun 3,74
95,Jun 4,56
96,Jun 5,35
97,Jun 6,38
98,Jun 7,61
99,Jun 8,69
100,Jun 9,54
101,Jun 10,73
102,Jun 11,62
103,Jun 12,52
104,Jun 13,53
105,Jun 14,33
106,Jun 15,40
107,Jun 16,47
108,Jun 17,51
109,Jun 18,118
110,Jun 19,126
111,Jun 20,42
112,Jun 21,50
113,Jun 22,63
114,Jun 23,89
115,Jun 24,127
116,Jun 25,93
117,Jun 26,168
118,Jun 27,260
119,Jun 28,305
120,Jun 29,202
121,Jun 30,149
122,Jul 1,92
123,Jul 2,132
124,Jul 3,141
125,Jul 4,121
126,Jul 5,75
127,Jul 6,51
128,Jul 7,119
129,Jul 8,129
130,Jul 9,105
131,Jul 10,143
132,Jul 11,53
133,Jul 12,59
134,Jul 13,64
135,Jul 14,103
136,Jul 15,134
137,Jul 16,137
138,Jul 17,130
139,Jul 18,113
140,Jul 19,90
141,Jul 20,168
142,Jul 21,206
143,Jul 22,245
144,Jul 23,235
145,Jul 24,279
146,Jul 25,132
147,Jul 26,115
148,Jul 27,194
149,Jul 28,276
150,Jul 29,273
151,Jul 30,249
152,Jul 31,231
153,Aug 1,124
154,Aug 2,101
155,Aug 3,209
156,Aug 4,289
157,Aug 5,240
158,Aug 6,214
159,Aug 7,323
160,Aug 8,175
161,Aug 9,122
162,Aug 10,140
163,Aug 11,287
164,Aug 12,290
165,Aug 13,329
166,Aug 14,291
167,Aug 15,197
168,Aug 16,121
169,Aug 17,191
170,Aug 18,281
171,Aug 19,316
172,Aug 20,246
173,Aug 21,503
174,Aug 22,236
175,Aug 23,136
176,Aug 28,484
177,Aug 29,319
178,Aug 30,274
179,Sep 1,256
180,Sep 2,499
181,Sep 3,646
182,Sep 4,677
183,Sep 5,797
184,Sep 6,410
185,Sep 7,561
186,Sep 10,1382
187,Sep 15,1673
188,Sep 20,985
189,Sep 25,2947
190,Sep 30,2926
191,Oct 1,3496
192,Oct 2,3794
193,Oct 3,2555
194,Oct 4,1840
195,Oct 5,3118
196,Oct 6,4460
197,Oct 7,5338
198,Oct 8,5394
199,Oct 9,8615
200,Oct 10,4636
201,Oct 11,3104
202,Oct 12,4309
203,Oct 13,8324
204,Oct 14,9544
205,Oct 15,9722
206,Oct 16,11104
207,Oct 17,8713
208,Oct 18,5058
209,Oct 19,8075
210,Oct 20,11984
211,Oct 21,14968
212,Oct 22,14156
213,Oct 23,15254
214,Oct 24,12471
215,Oct 25,7301
216,Oct 26,10273
217,Oct 27,15663
218,Oct 28,12977
219,Oct 29,13051
220,Oct 30,13606
221,Oct 31,11428
222,Nov 1,6551
223,Nov 2,9240
224,Nov 3,12088
225,Nov 4,15727
226,Nov 5,13232
227,Nov 6,11549
228,Nov 7,7722
229,Nov 8,3608
230,Nov 9,6048
231,Nov 10,9015
232,Nov 11,8921
233,Nov 12,7874
234,Nov 13,7357
235,Nov 14,4198
236,Nov 15,1887
237,Nov 16,5410
238,Nov 17,4246
239,Nov 18,5515
240,Nov 19,6471
