,Year,Inflation rate compared to previous year
0,2024*,1%
1,2023*,1%
2,2022*,1.1%
3,2021*,1.1%
4,2020*,1.06%
5,2019*,0.89%
6,2018,1.09%
7,2017,1.01%
8,2016,0.6%
9,2015,-0.73%
10,2014,1.14%
11,2013,0.76%
12,2012,1.73%
13,2011,5.13%
14,2010,1.18%
15,2009,0.54%
16,2008,7.26%
17,2007,4.58%
18,2006,4.04%
19,2005,4.69%
20,2004,4.45%
21,2003,2.12%
22,2002,1.87%
23,2001,3.75%
24,2000,2.27%
25,1999,0.51%
26,1998,2.55%
27,1997,4.49%
28,1996,9.79%
29,1995,10.03%
30,1994,10.58%
31,1993,18.51%
32,1992,11.22%
33,1991,14.41%
34,1990,28.29%
35,1989,17.65%
36,1988,19.77%
37,1987,24.85%
38,1986,31.95%
39,1985,22.32%
40,1984,11.71%
