,Golfer,Average points
0,Rory McIlroy (NIR),9.48
1,Jon Rahm (ESP),8.68
2,Brooks Koepka (USA),8.62
3,Justin Thomas (USA),7.62
4,Dustin Johnson (USA),6.72
5,Adam Scott (AUS),6.06
6,Patrick Cantley (USA),6.04
7,Patrick Reed (USA),5.93
8,Webb Simpson (USA),5.88
9,Tiger Woods (USA),5.81
10,Xander Schauffele (USA),5.62
11,Tommy Fleetwood (ENG),5.52
12,Justin Rose (ENG),5.3
13,Bryson DeChambeau (USA),5.1
14,Tony Finau (USA),4.88
15,Matt Kuchar (USA),4.63
16,Louis Oosthuizen (RSA),4.38
17,Gary Woodland (USA),4.36
18,Shane Lowry (IRE),4.33
19,Hideki Matsuyama (JPN),4.31
