,Year,GDP per capita in U.S. dollars
0,2024*,17685.87
1,2023*,16542.17
2,2022*,15455.17
3,2021*,14398.64
4,2020*,13414.49
5,2019*,12482.97
6,2018,12269.84
7,2017,10761.71
8,2016,9538.93
9,2015,8950.46
10,2014,10004.88
11,2013,9537.82
12,2012,8518.92
13,2011,9081.72
14,2010,8190.57
15,2009,8517.6
16,2008,10385.85
17,2007,8262.41
18,2006,5811.44
19,2005,4662.67
20,2004,3541.52
21,2003,2768.12
22,2002,2118.57
23,2001,1817.05
24,2000,1669.98
25,1999,1611.13
26,1998,1897.42
27,1997,1581.75
28,1996,1575.5
29,1995,1573.13
30,1994,1325.48
31,1993,1154.67
32,1992,853.11
33,1991,1249.01
34,1990,1652.37
35,1989,2329.57
36,1988,2609.66
37,1987,2534.07
38,1986,2278.87
39,1985,2115.46
40,1984,1721.25
