,Country,Index value in points
0,France,97.98
1,Germany,97.9
2,Italy,97.8
3,United Kingdom,97.08
4,Belgium,96.62
5,Netherlands,96.59
6,Sweden,96.43
7,Switzerland,95.62
8,Austria,95.45
9,Finland,93.65
10,Portugal,93.18
11,Turkey,92.7
12,Russian Federation,92.69
13,Denmark,92.63
14,United States,92.59
15,Canada,92.32
16,India,92.13
17,Greece,92.04
18,Spain,91.49
19,"Egypt, Arab Rep",91.47
20,Argentina,90.97
21,Hungary,90.81
22,Poland,90.78
23,Romania,90.6
24,"Korea, Rep",90.6
25,China,90.29
26,Brazil,89.83
27,Czech Republic,89.54
28,Norway,89.28
29,South Africa,89.18
30,Australia,88.81
31,Ukraine,88.32
32,Mexico,87.76
33,Indonesia,87.6
34,Japan,87.51
35,Morocco,87.02
36,Bulgaria,86.75
37,Chile,86.51
38,Croatia,85.79
39,Serbia,85.68
40,Nigeria,85.24
41,Malaysia,84.88
42,Pakistan,84.76
43,Slovak Republic,84.48
44,Peru,84.07
45,Tunisia,83.22
46,Senegal,82.81
47,Slovenia,82.74
48,Philippines,81.88
49,Ghana,81.82
50,Ireland,81.52
51,Uruguay,81.47
52,Thailand,81.29
53,Jordan,81.21
54,Algeria,79.88
55,Kenya,79.19
56,Colombia,79.16
57,"Iran, Islamic Rep",78.96
58,Lithuania,78.67
59,Estonia,78.63
60,Cuba,78.49
61,Cyprus,78.11
62,New Zealand,77.56
63,Latvia,77.27
64,Ecuador,77.22
65,Ethiopia,77.06
66,Sri Lanka,77.0
67,Guatemala,76.85
68,Tanzania,76.0
69,Bosnia and Herzegovina,74.97
70,Israel,74.33
71,Costa Rica,74.23
72,Belarus,74.19
73,Bangladesh,73.98
74,Vietnam,73.76
75,El Salvador,73.35
76,Cote d'Ivoire,73.04
77,Azerbaijan,73.03
78,Cameroon,72.82
79,Paraguay,72.56
80,Bolivia,72.28
81,Uganda,71.24
82,Dominican Republic,71.11
83,"Venezuela, RB",71.11
84,Burkina Faso,71.09
85,North Macedonia,70.88
86,Kazakhstan,70.76
87,Luxembourg,70.66
88,Zambia,70.65
89,Moldova,70.14
90,Benin,70.14
91,Qatar,70.02
92,Armenia,69.31
93,Mali,69.18
94,Zimbabwe,69.16
95,Guinea,69.12
96,Mongolia,68.82
97,"Congo, Dem Rep",68.54
98,Singapore,68.14
99,Lebanon,67.74
