,Airline,737,747,767,777,787
0,BDS USAF Tanker Program,0,0,23,0,0
1,FedEx Express,0,0,15,7,0
2,China Eastern Airlines,12,0,0,0,6
3,Delta Air Lines,18,0,0,0,0
4,Qatar Airways,2,0,0,6,7
5,BOC Aviation Limited,5,0,0,0,9
6,United Airlines,4,0,0,2,8
7,Air Lease Corporation,1,0,0,0,12
8,Turkish Airlines,5,0,0,1,6
9,Etihad Airways,0,0,0,0,11
10,UPS,0,6,5,0,0
11,BDS U.S. Navy (P-8A Poseidon),10,0,0,0,0
12,China Southern Airlines,0,0,0,5,4
13,Air Canada,6,0,0,0,2
14,TUI Travel PLC,6,0,0,0,2
15,ANA Holdings Inc.,0,0,0,7,0
16,International Lease Finance Co,0,0,0,0,7
17,Singapore Airlines,0,0,0,0,7
