,Year,Production in million metric tons
0,2019*,42.0
1,2018*,41.0
2,2017,39.6
3,2016,41.7
4,2015,45.1
5,2014,45.3
6,2013,39.9
7,2012,37.2
8,2011,45.0
9,2010,43.3
10,2009,43.1
11,2008,47.4
12,2007,45.5
13,2006,40.6
14,2005,45.0
15,2004,45.0
16,2003,41.1
17,2002,37.7
18,2001,42.2
19,2000,43.3
20,1999,44.4
21,1998,40.8
22,1997,40.6
23,1996,42.9
24,1995,40.8
25,1994,39.7
26,1993,38.2
27,1992,34.8
28,1991,35.9
29,1990,36.9
30,1989,35.3
31,1988,35.3
32,1987,33.1
33,1986,33.3
34,1985,36.3
35,1984,35.6
36,1983,31.4
37,1982,34.4
38,1981,35.3
39,1980,36.6
40,1979,41.5
41,1978,38.9
42,1977,39.4
43,1976,40.1
44,1975,37.2
