,Year,Inflation rate compared to previous year
0,2024*,2.1%
1,2023*,2%
2,2022*,2%
3,2021*,1.5%
4,2020*,1.2%
5,2019*,-1.5%
6,2018,3.07%
7,2017,1.97%
8,2016,1.62%
9,2015,4.07%
10,2014,2.35%
11,2013,1.1%
12,2012,0.66%
13,2011,0.88%
14,2010,0.88%
15,2009,1.56%
16,2008,12.27%
17,2007,11.13%
18,2006,9.29%
19,2005,6.2%
20,2004,5.04%
21,2003,3.12%
22,2002,2.92%
23,2001,2.8%
24,2000,1.35%
25,1999,2.1%
26,1998,1.99%
27,1997,2.97%
28,1996,2.98%
29,1995,4.33%
30,1994,5.7%
31,1993,5.27%
32,1992,6.38%
33,1991,3.4%
34,1990,0.6%
35,1989,2.79%
36,1988,5%
37,1987,5.5%
38,1986,5.44%
39,1985,3.5%
40,1984,2.43%
