,Response,Share of respondents
0,Clothes or shoes,52%
1,Food/drink,50%
2,Health and beauty,42%
3,Toys and games,31%
4,Books,30%
5,Jewellery,21%
6,Vouchers,20%
7,Music,18%
8,Movies,15%
9,Video/computer games,13%
10,Kitchen Accessories,11%
11,Tickets (experience day/events),10%
12,Wearables,10%
13,Headphones,7%
14,Sports equipment,5%
15,Tablet,5%
16,Smartphone,4%
17,Games Console,4%
18,Digital assistant,2%
19,Holiday/trip,2%
20,Laptop,2%
21,Wireless speaker system,2%
22,Virtual reality headset,1%
23,Smart home devices,1%
24,Digital camera,1%
25,eReader,1%
