,baseball team,Average player salary in million U.S. dollars
0,New York Yankees,7.69
1,Boston Red Sox,6.96
2,Chicago Cubs,6.39
3,Houston Astros,6.36
4,Philadelphia Phillies,5.85
5,Los Angeles Angels,5.21
6,St Louis Cardinals,5.19
7,Washington Nationals,5.18
8,New York Mets,5.11
9,Los Angeles Dodgers,5.04
10,San Francisco Giants,4.88
11,Atlanta Braves,4.77
12,Colorado Rockies,4.7
13,Milwaukee Brewers,3.91
14,Cleveland Indians,3.65
15,Minnesota Twins,3.64
16,Texas Rangers,3.44
17,Seattle Mariners,3.3
18,Detroit Tigers,3.12
19,Cincinnati Reds,3.07
20,San Diego Padres,2.97
21,Chicago White Sox,2.82
22,Oakland Athletics,2.77
23,Arizona Diamondbacks,2.53
24,Baltimore Orioles,2.32
25,Kansas City Royals,2.23
26,Miami Marlins,2.07
27,Tampa Bay Rays,1.98
28,Toronto Blue Jays,1.93
29,Pittsburgh Pirates,1.69
