,Year,GDP per capita in U.S. dollars
0,2022*,1544.04
1,2021*,1585.89
2,2020*,1739.11
3,2019*,2299.31
4,2018*,3404.43
5,2017*,4725.05
6,2016*,9092.02
7,2015*,10568.1
8,2014*,7029.89
9,2013*,7869.44
10,2012 *,11293.13
11,2011 *,11548.91
12,2010,10324.75
13,2009,8448.32
14,2008,10469.17
15,2007,8133.31
16,2006,6609.95
17,2005,5418.44
18,2004,4309.5
19,2003,3265.55
20,2002,3790.66
21,2001,4965.41
22,2000,4823.96
23,1999,4121.58
24,1998,3973.42
25,1997,3777.79
26,1996,3174.63
27,1995,2559.77
28,1994,2741.98
29,1993,2876.08
30,1992,2968.5
31,1991,2685.29
32,1990,2492.94
33,1989,2378.16
34,1988,3292.79
35,1987,2619.24
36,1986,3488.56
37,1985,3472.19
