,Year,Number of reported cases
0,1980,0
1,1979,0
2,1978,2
3,1977,3234
4,1976,954
5,1975,19278
6,1974,218367
7,1973,135859
8,1972,65153
9,1971,52806
10,1970,33706
11,1969,54202
12,1968,80024
13,1967,131697
14,1966,92650
15,1965,112228
16,1964,77295
17,1963,133791
18,1962,98759
19,1961,90588
20,1960,67127
21,1959,96571
22,1958,280475
23,1957,156652
24,1956,96089
25,1955,91823
26,1954,99232
27,1953,94135
28,1952,167085
29,1951,554756
30,1950,426006
31,1949,632858
32,1948,161893
33,1947,163375
34,1946,302694
35,1945,405833
36,1944,407525
37,1943,210358
38,1942,124504
39,1941,195863
40,1940,235820
41,1939,186393
42,1938,144042
43,1937,149184
44,1936,263579
45,1935,331151
46,1934,327373
47,1933,328212
48,1932,211274
49,1931,182829
50,1930,360575
51,1929,267322
52,1928,272529
53,1927,327289
54,1926,324125
55,1925,284845
56,1924,186354
57,1923,174799
58,1922,190159
59,1921,303850
60,1920,401318
