,Year,Democrat,Republican,Other parties
0,"116th Congress, 2019",45,53,2
1,"115th Congress, 2017",46,52,2
2,"114th Congress, 2015",44,54,2
3,"113th Congress, 2013",53,45,2
4,"112th Congress, 2011",51,47,2
5,"111th Congress, 2009",55,41,2
6,"110th Congress, 2007",49,49,2
7,"109th Congress, 2005",44,55,1
8,"108th Congress, 2003",48,51,1
9,"107th Congress, 2001",50,50,-
10,"106th Congress, 1999",45,55,-
11,"105th Congress, 1997",45,55,-
12,"104th Congress, 1995",45,55,-
13,"103d Congress, 1993",57,43,-
14,"102d Congress, 1991",57,43,-
15,"101st Congress, 1989",55,45,-
16,"100th Congress, 1987",55,45,-
17,"99th Congress, 1985",47,53,-
18,"98th Congress, 1983",46,54,-
