,Month,Number of players in thousands
0,Jan '20,81.64
1,Dec '19,80.21
2,Nov '19,60.08
3,Oct '19,68.39
4,Sept '19,59.53
5,Aug '19,57.62
6,Jul '19,65.91
7,Jun '19,69.62
8,May '19,69.47
9,Apr '19,67.49
10,Mar '19,61.24
11,Feb '19,62.02
12,Jan '19,64.26
13,Dec '18,67.95
14,Nov '18,63.28
15,Oct '18,67.22
16,Sept '18,75.88
17,Aug '18,55.82
18,Jul '18,82.3
19,Jun '18,64.31
20,May '18,66.08
21,Aprl '18,60.63
22,Mar '18,63.58
23,Feb '18,62.49
24,Jan '18,60.54
25,Dec '17,65.28
26,Nov '17,60.12
27,Oct '17,73.68
28,Sept '17,70.23
29,Aug '17,52.61
30,Jul '17,68.23
31,Jun '17,64.08
32,May '17,82.25
33,Apr '17,65.38
34,Mar '17,74.33
35,Feb '17,61.65
36,Jan '17,69.67
37,Dec '16,70.35
38,Nov '16,55.53
39,Oct '16,59.53
40,Sept '16,79.3
41,Aug '16,48.14
42,Jul '16,58.68
43,Jun '16,55.03
44,May '16,58.21
45,Apr '16,102.68
46,Mar '16,45.88
47,Feb '16,50.36
48,Jan '16,46.11
