,Year,GDP per capita in U.S. dollars
0,2025*,9651.74
1,2024*,9329.81
2,2023*,9017.74
3,2022*,8707.95
4,2021*,8402.5
5,2020*,8069.1
6,2019,9862.44
7,2018,9687.01
8,2017,9287.84
9,2016,8744.54
10,2015,9616.67
11,2014,10980.99
12,2013,10764.33
13,2012,10261.05
14,2011,10204.51
15,2010,9258.2
16,2009,7975.42
17,2008,9973.02
18,2007,9588.51
19,2006,8997.27
20,2005,8189.16
21,2004,7383.02
22,2003,6964.63
23,2002,7465.92
24,2001,7409.68
25,2000,7016.24
26,1999,6019.94
27,1998,5346.19
28,1997,5148.07
29,1996,4286.48
30,1995,3810.93
31,1994,5672.01
32,1993,5467.16
33,1992,4479.32
34,1991,3927.96
35,1990,3335.46
36,1989,2940.09
37,1988,2459.99
38,1987,2050.33
39,1986,1906.82
40,1985,2810.06
