,Month,Consumer Confidence Index
0,Apr '20,54.85
1,Mar '20,58.24
2,Feb '20,57.26
3,Jan '20,58.82
4,Dec '19,58.77
5,Nov '19,59.9
6,Oct '19,56.97
7,Sep '19,55.78
8,Aug '19,58.25
9,Jul '19,56.49
10,Jun '19,57.63
11,May '19,55.28
12,Apr '19,63.54
13,Mar '19,59.45
14,Feb '19,57.79
15,Jan '19,58.2
16,Dec '18,58.72
17,Nov '18,60.02
18,Oct '18,57.6
19,Sep '18,59.95
20,Aug '18,68.17
21,Jul '18,72.68
22,Jun '18,70.14
23,May '18,69.55
24,Apr '18,71.36
25,Mar '18,71.29
26,Feb '18,72.2
27,Jan '18,72.02
28,Dec '17,65.64
29,Nov '17,65.58
30,Oct '17,67.63
31,Sep '17,69.33
32,Aug '17,71.02
33,Jul '17,70.95
34,Jun '17,69.87
35,May '17,72.48
36,Apr '17,70.78
37,Mar '17,67.8
38,Feb '17,65.67
39,Jan '17,66.61
40,Dec '16,63.87
41,Nov '16,69.31
42,Oct '16,74.32
43,Sep '16,74.9
44,Aug '16,74.35
45,Jul '16,66.68
46,Jun '16,69.31
47,May '16,68.47
48,Apr '16,67.99
49,Mar '16,66.99
50,Feb '16,66.57
51,Jan '16,71.26
52,Dec '15,74.01
53,Nov '15,77.5
54,Oct '15,63.06
55,Sep '15,59.14
56,Aug '15,62.3
57,Jul '15,64.33
58,Jun '15,66.35
59,May '15,64.02
60,Apr '15,64.91
61,Mar '15,64.38
62,Feb '15,67.99
63,Jan '15,67.34
64,Dec '14,68.15
65,Nov '14,69.01
66,Oct '14,70.6
67,Sep '14,74.59
68,Aug '14,73.22
69,Jul '14,73.58
70,Jun '14,73.6
71,May '14,75.73
72,Apr '14,78.06
73,Mar '14,72.67
74,Feb '14,69.15
75,Jan '14,71.98
76,Dec '13,75.35
77,Nov '13,77.84
78,Oct '13,75.82
79,Sep '13,72.76
80,Aug '13,77.2
81,Jul '13,78.13
82,Jun '13,76.12
83,May '13,77.17
84,Apr '13,75.22
85,Mar '13,74.83
86,Feb '13,76.55
87,Jan '13,75.38
88,Dec '12,73.96
89,Nov '12,72.96
90,Oct '12,69.65
91,Sep '12,72.77
92,Aug '12,74.4
93,Jul '12,76.7
94,Jun '12,76.66
95,May '12,77.82
96,Apr '12,75.35
97,Mar '12,79.23
98,Feb '12,79.52
99,Jan '12,78.6
